# id	sire	dam	sex	generation
5784	3403	3762	1	F5
5785	3746	3777	1	F5
5788	3746	3777	2	F5
5792	3746	3777	2	F5
5814	3505	3803	2	F5
5817	3505	3803	2	F5
5822	3209	3645	2	F5
5823	3209	3645	1	F5
5829	3209	3645	2	F5
5832	3080	3617	1	F5
5835	3080	3617	2	F5
5843	3610	3743	2	F5
5844	3610	3743	1	F5
5867	3059	3835	1	F5
5870	3059	3835	2	F5
5880	3270	3605	2	F5
5883	3270	3605	1	F5
5939	3838	3281	1	F5
5941	3838	3281	2	F5
5958	3235	3941	2	F5
5961	3235	3941	1	F5
6020	3948	3207	1	F5
6024	3948	3207	2	F5
6028	3948	3207	2	F5
6046	3304	4043	2	F5
6051	3304	4043	2	F5
6053	3775	4044	2	F5
6058	3775	4044	1	F5
6062	4041	3414	1	F5
6070	4041	3414	2	F5
6094	4025	3400	2	F5
6096	4025	3400	1	F5
6110	4014	3680	1	F5
6117	4014	3680	2	F5
6122	3409	4058	2	F5
6126	3409	4058	2	F5
6130	3409	4058	1	F5
6158	3869	3293	1	F5
6166	3869	3293	1	F5
6169	3869	3293	2	F5
6176	4054	4110	2	F5
6201	3672	4208	2	F5
6231	4187	4350	1	F5
6233	4187	4350	1	F5
6236	4274	4295	2	F5
6238	4274	4295	1	F5
6239	4274	4295	2	F5
6261	4333	4078	2	F5
6265	4333	4078	1	F5
6282	3765	4109	1	F5
6291	3950	4143	1	F5
6292	3950	4143	1	F5
6293	3950	4143	2	F5
6303	2785	4100	2	F5
6327	3606	4243	1	F5
6333	4138	4256	2	F5
6341	4138	4256	1	F5
6344	4138	4256	1	F5
6346	4258	3867	1	F5
6347	4258	3867	2	F5
6349	4258	3867	2	F5
6378	4104	3488	1	F5
6387	4080	3526	2	F5
6388	4080	3526	1	F5
6394	4165	3759	2	F5
6398	4165	3759	1	F5
6403	4071	4302	2	F5
6405	4071	4302	1	F5
6406	4071	4302	1	F5
6414	3632	4180	1	F5
6418	4046	4331	2	F5
6424	4046	4331	1	F5
6433	4346	4139	2	F5
6435	4346	4139	1	F5
6441	4082	4026	2	F5
6458	3636	4020	2	F5
6462	3636	4020	1	F5
6475	4264	4424	2	F5
6481	4264	4424	2	F5
6495	4419	4267	1	F5
6505	4306	3747	2	F5
6507	4306	3747	2	F5
6550	3496	4157	2	F5
6554	3496	4157	1	F5
6605	3872	3628	1	F5
6606	3872	3628	2	F5
6740	4887	4831	1	F6
6741	4887	4831	2	F6
6745	4887	4831	2	F6
6751	4909	4826	2	F6
6752	4909	4826	1	F6
6755	4909	4826	1	F6
6876	4589	4900	2	F6
6881	4589	4900	1	F6
6891	4970	4917	1	F6
6892	4970	4917	2	F6
6943	4573	4715	1	F6
6945	4573	4715	1	F6
6954	4688	4585	1	F6
6957	4688	4585	2	F6
6959	4688	4585	2	F6
6981	4823	4691	2	F6
6989	5058	4833	1	F6
6990	5058	4833	2	F6
6999	5066	5060	1	F6
7004	5066	5060	2	F6
7006	5084	4921	1	F6
7014	5113	4590	1	F6
7015	5113	4590	1	F6
7024	5006	5135	2	F6
7027	5006	5135	1	F6
7028	5006	5135	2	F6
7073	5056	5305	1	F6
7074	5056	5305	1	F6
7082	5056	5305	2	F6
7117	5196	5434	1	F6
7136	5507	4639	2	F6
7146	5507	4639	1	F6
7210	4716	5018	2	F6
7216	4716	5018	1	F6
7222	5050	4889	2	F6
7227	4976	5111	2	F6
7228	4976	5111	2	F6
7235	4976	5111	1	F6
7319	4828	5007	1	F6
7348	4640	5070	1	F6
7354	4640	5070	2	F6
7366	4939	5510	1	F6
7371	5136	5570	2	F6
7376	5136	5570	1	F6
7383	5530	4988	1	F6
7384	5530	4988	2	F6
7393	5528	5580	1	F6
7396	5528	5580	2	F6
7404	4914	5588	2	F6
7408	4914	5588	1	F6
7438	5581	5525	1	F6
7444	5581	5525	2	F6
7463	4998	5612	2	F6
7465	4998	5612	1	F6
7472	5572	4940	1	F6
7474	5572	4940	2	F6
7484	5619	4974	2	F6
7486	5619	4974	1	F6
7488	5706	5496	1	F6
7493	5706	5496	2	F6
7502	5757	5348	2	F6
7505	5757	5348	1	F6
7512	4717	5621	2	F6
7514	4717	5621	1	F6
7525	5617	5296	1	F6
7527	5617	5296	2	F6
7532	5765	4915	2	F6
7533	5765	4915	1	F6
7541	4719	5041	2	F6
7545	4719	5041	1	F6
7566	4987	4718	1	F6
7568	4987	4718	2	F6
7571	5750	5591	1	F6
7572	5750	5591	2	F6
7583	5785	5202	2	F6
7623	5601	5870	1	F6
7628	5601	5870	2	F6
7631	5658	5843	2	F6
7636	5658	5843	1	F6
